index,x,y
219.812669,1002,455
220.100471,410,420
220.13398,382,399
220.302862,261,311
220.368694,194,302
220.4019,149,288
220.43572,160,275
220.469115,145,263
220.502599,133,268
220.535933,117,261
220.569326,125,261
220.602345,123,243
220.636447,128,222
220.670206,135,201
220.704185,148,184
220.735907,177,173
220.770074,215,149
220.802985,222,131
220.83614,227,119
220.871141,222,110
220.902362,243,104
220.937485,255,86
220.971042,252,64
221.004605,263,66
221.039097,341,66
221.070331,406,64
221.104068,460,57
221.138722,488,49
221.173556,514,36
221.207459,547,29
221.241488,573,12
221.27353,577,1
221.306009,564,0
221.340287,562,0
221.374545,567,0
221.408003,561,0
221.440216,557,0
221.474103,609,0
221.50823,682,4
221.541434,733,6
221.574606,795,5
221.607095,838,6
221.641775,864,0
221.675529,895,2
221.706815,905,2
221.739596,912,2
221.774264,983,3
221.806872,1044,5
221.838497,1094,6
221.872556,1139,2
221.907078,1189,0
221.939937,1212,0
221.972457,1218,0
222.005597,1212,0
222.041386,1231,0
222.072907,1230,0
222.105001,1233,0
222.139525,1237,0
222.173154,1239,0
222.206393,1232,0
222.238913,1246,0
222.27205,1705,0
222.304922,1695,0
222.336871,1707,0
222.369441,1704,0
222.403949,1703,0
222.436691,1708,0
222.471109,1712,0
222.504767,1722,0
222.538309,1738,0
222.572095,1733,0
222.604973,1728,0
222.638974,1726,0
222.67304,1717,0
222.705979,1710,0
222.741323,1704,0
222.772588,1704,0
222.805421,1706,0
222.837834,1742,0
222.871168,1798,0
222.906357,1838,0
222.939205,1821,0
222.971805,1830,0
223.005559,1840,0
223.039015,1853,0
223.072093,1860,0
223.10537,1844,0
223.139322,756,0
223.172289,228,0
223.20597,98,0
223.239734,0,0
223.273091,0,0
223.306144,0,0
223.34096,0,0
223.373123,0,0
223.406806,0,0
223.438708,0,0
223.471773,0,0
223.504154,0,0
223.538723,0,0
223.572075,0,0
223.605274,6,0
223.638784,242,0
223.671646,271,0
223.706638,314,0
223.738984,334,0
223.771227,347,0
223.803439,354,0
223.836625,363,0
223.868543,379,0
223.902039,444,0
223.934655,476,2
223.968745,496,4
224.00176,541,7
224.036198,576,10
224.069367,588,12
224.102641,599,13
224.134918,602,13
224.169611,606,15
224.204109,675,18
224.237076,752,20
224.271133,805,20
224.304739,847,21
224.339112,892,24
224.372372,908,27
224.405902,916,31
224.439301,945,32
224.471877,944,34
224.506393,951,33
224.537223,957,32
224.570369,1026,33
224.602037,1100,34
224.636153,1153,32
224.667479,1177,32
224.702678,1235,28
224.735182,1254,26
224.768558,1257,26
224.800965,1291,21
224.835189,1327,20
224.869181,1324,20
224.903338,1365,17
224.935662,1454,13
224.970221,1570,8
225.004055,1653,2
225.038325,1694,0
225.072084,1729,0
225.107062,1744,0
225.138346,1771,0
225.171682,1776,0
225.204378,1767,0
225.238714,1804,0
225.272542,1840,0
225.307609,1857,0
225.340036,1869,0
225.373699,1875,0
225.406764,1881,0
225.439154,1882,0
225.471822,1884,3
225.505566,1894,9
225.539572,1894,13
225.57251,1895,13
225.605501,1889,14
225.639141,1890,12
225.672192,1888,14
225.706588,1887,16
225.741516,1890,15
225.773668,1899,14
225.807015,1914,12
225.840669,1919,10
225.871887,1919,7
225.905566,1919,5
225.93953,1139,45
225.97187,384,22
226.004615,0,0
226.037262,0,0
226.071399,0,11
226.103146,0,21
226.13622,0,37
226.1696,0,42
226.201055,0,49
226.235013,6,55
226.268933,11,65
226.304336,10,60
226.338874,9,55
226.371624,3,53
226.405072,2,50
226.438259,2,48
