index,x,y
17.407102,249,263
17.438059,183,229
17.46902,128,173
17.500533,82,129
17.53196,70,106
17.56449,61,82
17.594052,62,66
17.626532,61,53
17.657637,61,49
17.691365,57,44
17.723887,54,39
17.757015,52,31
17.791804,52,25
17.824737,52,23
17.857784,54,20
17.890947,55,17
17.925361,56,17
17.961673,56,16
17.997056,57,14
18.031024,57,12
18.064255,58,11
18.098316,59,9
18.133169,59,9
18.168901,61,9
18.202058,61,10
18.23608,62,11
18.270917,62,11
18.303539,62,12
18.337041,63,13
18.369213,63,14
18.403601,63,17
18.434196,64,18
18.466492,64,21
18.497931,64,24
18.530012,65,27
18.562703,65,29
18.594322,66,31
18.625734,67,34
18.659626,67,36
18.693157,68,37
18.726761,69,38
18.763246,70,38
18.795313,71,39
18.828053,73,40
18.860796,74,41
18.895183,75,42
18.928458,76,42
18.961185,78,43
18.994332,80,44
19.027767,80,44
19.060874,80,44
19.094159,81,44
19.126562,81,43
19.159911,81,43
