timestamp,x,y,jump,saccade
1771004971.567933,211,557,0,0
1771004971.579493,343,495,0,0
1771004971.588567,499,388,0,0
1771004971.599784,515,382,0,0
1771004971.608806,575,388,0,0
1771004971.620267,657,323,0,0
1771004971.628262,603,365,0,0
1771004971.640133,658,354,0,0
1771004971.649778,631,324,0,0
1771004971.660772,699,324,0,0
1771004971.670689,669,347,0,0
1771004971.681085,760,350,0,0
1771004971.690194,853,335,0,0
1771004971.702004,786,367,0,0
1771004971.711688,806,353,0,0
1771004971.723118,814,350,0,0
1771004971.732812,816,341,0,0
1771004971.745001,823,346,0,0
1771004971.754043,872,262,0,0
1771004971.765066,818,294,0,0
1771004971.776246,755,269,0,0
1771004971.787543,798,242,0,0
1771004971.796704,768,226,0,0
1771004971.807949,752,267,0,0
1771004971.817431,801,231,0,0
1771004971.82969,773,234,0,0
1771004971.839305,767,230,0,0
1771004971.850915,991,168,0,0
1771004971.860663,941,184,0,0
1771004971.872204,899,192,0,0
1771004971.881826,969,210,0,0
1771004971.894171,933,207,0,0
1771004971.904699,952,194,0,0
1771004971.916591,1012,200,0,0
1771004971.92793,1154,219,0,0
1771004971.939493,1110,224,0,0
1771004971.948826,1159,190,0,0
1771004971.960951,1240,161,0,0
1771004971.971425,1249,163,0,0
1771004971.983182,1161,180,0,0
1771004971.992786,1194,166,0,0
1771004972.005227,1309,165,0,0
1771004972.014648,1358,157,0,0
1771004972.026203,1433,151,0,0
1771004972.036136,1447,172,0,0
1771004972.047218,1395,178,0,0
1771004972.057274,1412,170,0,0
1771004972.069345,1434,158,0,0
1771004972.079238,1469,121,0,0
1771004972.091013,1520,120,1,0
1771004972.100572,1444,115,1,0
1771004972.112325,1453,131,1,0
1771004972.121976,1489,160,1,0
1771004972.133412,1421,166,1,0
1771004972.142623,1304,176,1,0
1771004972.154169,885,334,1,0
1771004972.1634,781,354,0,0
1771004972.174913,784,340,0,0
1771004972.184056,747,317,0,0
1771004972.197058,706,280,0,0
1771004972.206073,776,313,0,0
1771004972.217913,743,340,0,0
1771004972.228125,742,337,0,0
1771004972.239188,727,319,0,0
1771004972.248626,786,328,0,0
1771004972.259432,791,329,0,0
1771004972.269219,764,329,0,0
1771004972.280904,791,323,0,0
1771004972.29039,808,337,0,0
1771004972.301581,868,326,0,0
1771004972.31082,892,310,0,0
1771004972.322359,878,303,0,0
1771004972.331636,822,292,0,0
1771004972.342694,894,315,0,0
1771004972.351858,764,339,0,0
1771004972.363281,858,293,0,0
1771004972.373293,839,260,0,0
1771004972.38478,1021,182,0,0
1771004972.393886,1174,220,0,0
1771004972.405527,1144,226,0,0
1771004972.414572,1144,226,0,0
1771004972.426122,1068,248,0,0
1771004972.435487,1116,237,0,0
1771004972.447376,1066,236,0,0
1771004972.456636,1125,256,0,0
1771004972.468051,1140,264,0,0
1771004972.477662,1093,304,0,0
1771004972.489914,1106,289,0,0
1771004972.499212,1094,299,0,0
1771004972.511415,1126,284,0,0
1771004972.521536,1049,303,0,0
1771004972.534097,1132,282,0,0
1771004972.54343,1089,306,0,0
1771004972.555471,1164,278,0,0
1771004972.630169,1285,261,0,0
1771004972.642196,1476,190,0,0
1771004972.651488,1450,208,0,0
1771004972.66331,1422,187,0,0
1771004972.672274,1494,188,0,0
1771004972.683427,1447,208,0,0
1771004972.69339,1447,197,0,0
1771004972.704761,1562,179,0,0
1771004972.714187,1677,242,0,0
1771004972.727298,1650,252,0,0
1771004972.736993,1689,255,0,0
1771004972.748656,1732,252,0,0
1771004972.75803,1769,239,0,0
1771004972.76986,1651,248,0,0
1771004972.779071,1687,267,1,0
1771004972.790816,1643,243,1,0
1771004972.800039,1815,245,1,0
1771004972.812013,1676,242,1,0
1771004972.821838,1727,232,1,0
1771004972.8337,1302,349,1,0
1771004972.842994,766,498,1,0
1771004972.854357,535,588,0,0
1771004972.863202,427,553,0,0
1771004972.87505,487,578,0,0
1771004972.885422,525,547,0,0
1771004972.896948,564,597,0,0
1771004972.906247,390,549,0,0
1771004972.918521,462,601,0,0
1771004972.927696,378,576,0,0
1771004972.938932,389,544,0,0
1771004972.948037,405,536,0,0
1771004972.960076,498,582,0,0
1771004972.969605,438,569,0,0
1771004972.980802,445,584,0,0
1771004972.99152,378,587,0,0
1771004973.003086,372,589,0,0
1771004973.012316,394,601,0,0
1771004973.02378,415,556,0,0
1771004973.033115,547,565,0,0
1771004973.044481,753,495,0,0
1771004973.053981,753,489,0,0
1771004973.066608,824,450,0,0
1771004973.077115,809,488,0,0
1771004973.088882,614,506,0,0
1771004973.098216,689,559,0,0
1771004973.11006,719,560,0,0
1771004973.11944,777,478,0,0
1771004973.130818,980,421,0,0
1771004973.141199,969,463,0,0
1771004973.152524,1006,443,0,0
1771004973.161714,1024,476,0,0
1771004973.173407,999,479,0,0
1771004973.183631,978,475,0,0
1771004973.195322,980,468,0,0
1771004973.204868,1030,479,0,0
1771004973.216639,977,461,0,0
1771004973.226145,1106,469,0,0
1771004973.237383,1061,488,0,0
1771004973.24694,1073,489,0,0
1771004973.258615,1102,474,0,0
1771004973.268086,1277,462,0,0
1771004973.279369,1294,433,0,0
1771004973.289539,1350,422,0,0
1771004973.301563,1418,442,0,0
1771004973.31092,1395,370,0,0
1771004973.322473,1441,373,0,0
1771004973.332116,1468,381,0,0
1771004973.343627,1617,346,0,0
1771004973.352908,1701,374,0,0
1771004973.364903,1743,399,0,0
1771004973.37389,1786,398,0,0
1771004973.385775,1761,398,0,0
1771004973.394949,1807,404,0,0
1771004973.406515,1875,368,0,0
1771004973.415788,1795,354,0,0
1771004973.427543,1752,358,0,0
1771004973.437401,1758,374,0,0
1771004973.448642,1864,368,0,0
1771004973.457746,1839,386,1,0
1771004973.469415,1744,379,1,0
1771004973.479069,1756,402,1,0
1771004973.49117,1848,396,1,0
1771004973.500425,1824,410,1,0
1771004973.512878,1233,544,1,0
1771004973.521761,535,646,1,0
1771004973.533039,372,734,0,0
1771004973.542257,232,770,0,0
1771004973.554623,301,744,0,0
1771004973.563991,211,698,0,0
1771004973.575501,218,705,0,0
1771004973.585284,196,700,0,0
1771004973.596277,135,686,0,0
1771004973.605518,82,675,0,0
1771004973.617529,70,629,0,0
1771004973.693935,79,642,0,0
1771004973.70578,111,640,0,0
1771004973.715067,286,669,0,0
1771004973.727048,158,724,0,0
1771004973.766835,184,790,0,0
1771004973.776098,186,778,0,0
1771004973.787804,164,729,0,0
1771004973.797235,173,689,0,0
1771004973.809399,217,682,0,0
1771004973.818713,180,704,0,0
1771004973.831086,262,750,0,0
1771004973.840884,499,749,0,0
1771004973.852608,616,733,0,0
1771004973.86248,638,709,0,0
1771004973.874903,649,744,0,0
1771004973.88427,663,738,0,0
1771004973.895762,700,767,0,0
1771004973.905266,610,735,0,0
1771004973.917222,564,722,0,0
1771004973.926223,647,730,0,0
1771004973.937595,598,737,0,0
1771004973.94698,628,751,0,0
1771004973.958519,712,753,0,0
1771004973.967202,750,728,0,0
1771004973.979193,947,743,0,0
1771004973.988699,1025,771,0,0
1771004974.000789,1099,758,0,0
1771004974.01016,1027,733,0,0
1771004974.022372,1047,715,0,1
1771004974.032171,1013,711,0,1
1771004974.094462,712,854,0,1
1771004974.105853,874,941,0,1
1771004974.115601,1005,943,0,0
1771004974.12675,1004,853,0,0
1771004974.135753,1215,815,0,0
1771004974.147429,1162,783,0,0
1771004974.156738,1227,752,0,0
1771004974.168661,1194,690,0,0
1771004974.178097,1256,706,0,0
1771004974.189335,1241,695,0,0
1771004974.199442,1489,664,0,0
1771004974.210826,1505,676,0,0
1771004974.220462,1593,659,0,0
1771004974.231523,1596,627,0,0
1771004974.242113,1630,608,0,0
1771004974.25413,1601,650,0,0
1771004974.263882,1623,643,0,0
1771004974.275774,1510,625,0,0
1771004974.28507,1553,676,0,0
1771004974.296547,1676,706,0,0
1771004974.306056,1735,659,0,0
1771004974.31785,1820,649,0,0
1771004974.327425,1807,645,0,0
1771004974.338675,1815,661,1,0
1771004974.348687,1103,825,1,0
1771004974.409409,1318,971,1,0
1771004974.42102,1579,911,1,0
1771004974.430246,1574,918,1,0
1771004974.442025,1537,866,1,0
1771004974.451883,1699,862,1,0
1771004974.466381,1649,826,1,0
1771004974.47686,1634,808,1,0
1771004974.489093,1704,810,1,0
