timestamp,x,y
1771004971.567933,375,472
1771004971.579493,478,410
1771004971.588567,602,298
1771004971.599784,614,293
1771004971.608806,658,303
1771004971.620267,724,234
1771004971.628262,681,278
1771004971.640133,722,269
1771004971.649778,705,234
1771004971.660772,755,237
1771004971.670689,731,262
1771004971.681085,798,270
1771004971.690194,868,258
1771004971.702004,816,291
1771004971.711688,832,276
1771004971.723118,838,273
1771004971.732812,840,263
1771004971.745001,845,269
1771004971.754043,888,178
1771004971.765066,846,210
1771004971.776246,801,179
1771004971.787543,835,151
1771004971.796704,814,131
1771004971.807949,799,177
1771004971.817431,838,139
1771004971.82969,817,141
1771004971.839305,813,136
1771004971.850915,984,79
1771004971.860663,946,94
1771004971.872204,914,100
1771004971.881826,964,124
1771004971.894171,938,119
1771004971.904699,953,106
1771004971.916591,997,116
1771004971.92793,1100,145
1771004971.939493,1067,148
1771004971.948826,1106,113
1771004971.960951,1169,84
1771004971.971425,1175,87
1771004971.983182,1109,101
1771004971.992786,1134,87
1771004972.005227,1219,93
1771004972.014648,1256,86
1771004972.026203,1312,84
1771004972.036136,1321,108
1771004972.047218,1282,112
1771004972.057274,1295,104
1771004972.069345,1312,92
1771004972.079238,1341,52
1771004972.091013,1379,54
1771004972.100572,1323,44
1771004972.112325,1329,62
1771004972.121976,1353,97
1771004972.133412,1302,100
1771004972.142623,1215,105
1771004972.154169,892,259
1771004972.1634,813,276
1771004972.174913,817,260
1771004972.184056,791,232
1771004972.197058,764,189
1771004972.206073,813,229
1771004972.217913,786,258
1771004972.228125,786,255
1771004972.239188,776,234
1771004972.248626,819,247
1771004972.259432,823,248
1771004972.269219,803,247
1771004972.280904,823,241
1771004972.29039,835,258
1771004972.301581,880,249
1771004972.31082,899,233
1771004972.322359,889,224
1771004972.331636,849,209
1771004972.342694,900,238
1771004972.351858,802,258
1771004972.363281,875,211
1771004972.373293,864,173
1771004972.38478,1005,96
1771004972.393886,1115,147
1771004972.405527,1092,152
1771004972.414572,1092,152
1771004972.426122,1034,173
1771004972.435487,1071,163
1771004972.447376,1034,159
1771004972.456636,1076,185
1771004972.468051,1086,194
1771004972.477662,1048,237
1771004972.489914,1059,221
1771004972.499212,1049,231
1771004972.511415,1074,216
1771004972.521536,1016,233
1771004972.534097,1079,214
1771004972.54343,1045,239
1771004972.555471,1103,212
1771004972.630169,1194,199
1771004972.642196,1341,130
1771004972.651488,1320,149
1771004972.66331,1301,124
1771004972.672274,1354,129
1771004972.683427,1318,149
1771004972.69339,1319,136
1771004972.704761,1405,122
1771004972.714187,1485,199
1771004972.727298,1464,209
1771004972.736993,1493,215
1771004972.748656,1525,214
1771004972.75803,1553,201
1771004972.76986,1465,205
1771004972.779071,1490,228
1771004972.790816,1460,198
1771004972.800039,1587,210
1771004972.812013,1484,199
1771004972.821838,1523,191
1771004972.8337,1199,299
1771004972.842994,790,436
1771004972.854357,612,525
1771004972.863202,535,479
1771004972.87505,577,511
1771004972.885422,608,478
1771004972.896948,633,536
1771004972.906247,508,473
1771004972.918521,557,535
1771004972.927696,497,502
1771004972.938932,508,467
1771004972.948037,520,459
1771004972.960076,585,516
1771004972.969605,542,498
1771004972.980802,546,515
1771004972.99152,496,515
1771004973.003086,491,517
1771004973.012316,507,531
1771004973.02378,526,482
1771004973.033115,623,499
1771004973.044481,781,432
1771004973.053981,781,426
