index,x,y
21.873615,264,85
21.910947,242,93
21.951587,224,96
21.984319,217,101
22.016912,231,95
22.050026,239,95
22.081324,246,94
22.112371,253,88
22.14387,250,86
22.173452,247,85
22.202605,242,85
22.232517,238,81
22.264658,232,78
22.295962,229,78
22.331023,226,78
22.363456,222,75
22.395634,220,72
22.432453,219,68
22.465309,216,67
22.49642,211,67
22.532526,206,68
22.564959,202,68
22.598038,197,68
22.631896,194,68
22.662651,196,68
22.6965,196,68
22.727974,195,68
22.762796,195,68
22.793641,196,68
22.826929,194,68
22.859328,193,68
22.892527,191,67
22.926308,191,67
22.960206,192,67
22.993484,191,65
23.025947,191,65
23.061336,191,63
23.096607,189,61
23.130312,186,59
23.163815,185,59
23.195975,183,58
23.231412,183,57
23.262548,184,55
23.296491,190,53
23.331493,215,51
23.364705,239,50
23.398894,267,49
23.434853,288,50
23.46742,307,52
23.499203,321,54
23.532441,338,55
23.564084,342,55
23.59465,346,55
23.628735,350,54
23.661412,357,54
23.6933,361,53
23.727251,368,52
23.761501,367,52
23.798065,395,52
23.830675,481,56
23.865682,548,58
23.899264,603,60
23.933604,638,60
23.968797,667,61
23.999162,686,61
24.030257,703,62
24.066478,712,63
24.100068,712,63
24.128544,726,64
24.163689,791,69
24.199486,836,71
24.228905,864,73
24.262618,896,77
24.295191,918,81
24.326877,933,82
24.361697,1011,84
24.395837,1088,84
24.431535,1164,85
24.462228,1206,85
24.497543,1237,85
24.527738,1252,86
24.560607,1345,87
24.595372,1477,87
24.627641,1548,87
24.662637,1591,86
24.698425,1625,83
24.728772,1639,79
24.767341,1645,77
24.799493,1653,75
24.831994,1653,74
24.86933,1675,70
24.899907,1684,68
24.930171,1691,66
24.964922,1699,65
24.999818,1703,65
25.030155,1708,65
25.064642,1713,65
25.09716,1719,64
25.130109,1728,64
25.163038,1738,64
25.197981,1749,63
25.229232,1760,62
25.264407,1776,62
25.299803,1785,62
25.330921,1788,62
25.365913,1798,60
25.398248,1301,59
25.43055,593,39
25.467337,306,26
25.499609,257,24
25.532458,226,23
25.563588,223,23
25.597223,207,25
25.63002,197,26
25.661582,192,28
25.696273,172,30
25.729655,154,32
25.763999,137,33
25.799187,125,34
25.83159,110,36
25.864947,107,37
25.897652,109,38
25.931117,114,39
25.964806,117,38
25.999159,119,38
26.032991,121,37
26.066789,121,37
26.100563,150,39
26.13224,211,43
26.163755,264,47
26.200703,318,50
26.231145,352,52
26.262042,382,55
26.297199,406,58
26.332043,505,64
26.365603,974,87
26.398618,969,92
26.429572,958,98
26.46615,949,106
26.497027,941,111
26.529769,936,116
26.562169,967,117
26.597367,1071,117
26.629944,1148,117
26.664022,1194,117
26.696875,1223,117
26.730354,1250,117
26.762877,1266,118
26.797272,1287,118
26.828604,1377,118
26.865565,1452,116
26.903032,1515,114
26.934692,1554,111
26.967655,1595,105
26.998848,1617,100
27.030189,1662,96
27.062804,1730,96
27.096362,1784,93
27.132319,1823,93
27.16343,1842,92
27.200536,1858,91
27.231591,1874,91
27.267091,1884,89
27.298706,1886,88
27.332802,1881,88
27.368528,1874,88
27.400944,1871,87
27.434833,1871,85
27.465829,1869,84
27.498353,1866,82
27.532017,1864,80
27.564804,1863,77
27.597629,1860,73
27.629958,1857,69
27.663948,1855,66
27.697378,1817,64
27.729949,911,65
27.763768,531,55
27.797189,468,58
27.834219,417,59
27.867735,384,60
27.898164,362,62
27.930405,310,62
27.968133,268,65
27.998674,248,67
28.031689,229,68
28.067275,213,68
28.099267,199,68
28.134557,191,69
28.164473,181,70
28.19856,174,70
28.228975,170,70
28.261583,167,72
28.294088,168,72
28.329263,162,72
28.362998,162,73
28.399281,162,73
28.432987,160,73
28.467059,157,73
28.497932,168,76
28.530585,204,80
28.568325,253,85
28.600011,292,94
28.63729,323,101
28.667286,341,103
28.706404,359,106
28.736498,394,112
28.770327,434,116
28.802384,469,120
28.834941,501,125
28.865012,521,128
28.89635,543,131
28.926354,576,136
28.962913,680,154
28.992341,746,164
29.024236,797,172
29.059095,837,179
29.09271,861,186
29.127488,873,192
29.163972,889,197
29.198024,896,203
29.233368,902,207
29.265455,907,209
29.299413,948,213
29.333006,980,218
