timestamp,x,y
1770684382.663852,395,342
1770684382.677258,510,493
1770684382.687725,406,563
1770684382.696836,514,466
1770684382.707433,415,504
1770684382.718785,497,475
1770684382.73132,347,443
1770684382.75316,382,446
1770684382.769861,393,406
1770684382.78559,354,478
1770684382.799551,360,396
1770684382.813532,469,490
1770684382.825598,491,413
1770684382.839565,416,471
1770684382.851493,416,470
1770684382.864251,412,475
1770684382.874336,414,479
1770684382.88641,413,460
1770684382.896671,397,435
1770684382.908661,410,459
1770684382.918678,435,478
1770684382.930881,441,478
1770684382.941545,446,443
1770684382.953037,456,443
1770684382.963125,513,454
1770684382.975436,638,460
1770684382.988715,573,454
1770684383.007699,598,420
1770684383.021639,583,485
1770684383.035634,598,420
1770684383.046908,632,498
1770684383.063022,654,410
1770684383.07627,623,420
1770684383.100744,619,410
1770684383.112021,625,491
1770684383.124546,802,435
1770684383.135253,883,410
1770684383.147185,948,459
1770684383.159445,850,433
1770684383.172333,975,482
1770684383.191568,903,456
1770684383.210287,981,474
1770684383.222781,826,446
1770684383.234787,828,429
1770684383.245029,907,446
1770684383.257537,842,467
1770684383.267094,874,458
1770684383.279306,973,411
1770684383.289465,1075,427
1770684383.301809,1166,400
1770684383.311649,1149,471
1770684383.324778,1153,425
1770684383.335361,1164,433
1770684383.347001,1111,453
1770684383.35748,1187,445
1770684383.370174,1330,393
1770684383.380725,1570,382
1770684383.392796,1613,409
1770684383.403392,1621,342
1770684383.416213,1544,402
1770684383.427041,1669,360
1770684383.438589,1564,421
1770684383.449603,1659,324
1770684383.462632,1633,466
1770684383.472666,1675,388
1770684383.485101,1588,426
1770684383.495523,1621,387
1770684383.507454,1510,416
1770684383.517439,1647,301
1770684383.529458,1522,396
1770684383.539825,1662,335
1770684383.551937,1576,407
1770684383.562226,1636,367
1770684383.574656,1612,386
1770684383.585045,1580,381
1770684383.597193,1612,386
1770684383.607673,1726,307
1770684383.621301,1649,454
1770684383.631686,1560,376
1770684383.643859,1222,561
1770684383.65466,611,567
1770684383.667686,349,610
