timestamp,x,y
1770713833.377775,188,274
1770713833.390383,186,165
1770713833.400041,192,186
1770713833.411642,219,203
1770713833.420075,295,182
1770713833.426601,285,242
1770713833.434048,326,216
1770713833.441506,290,273
1770713833.450262,306,217
1770713833.46174,432,361
1770713833.490487,405,278
1770713833.500871,451,276
1770713833.510401,406,222
1770713833.521309,446,179
1770713833.530235,442,186
1770713833.541849,431,152
1770713833.550647,441,148
1770713833.562144,441,120
1770713833.571292,477,99
1770713833.582378,630,190
1770713833.59199,628,216
1770713833.6032,573,242
1770713833.613484,556,202
1770713833.623882,565,239
1770713833.633296,597,170
1770713833.645248,754,170
1770713833.654141,783,202
1770713833.665125,796,159
1770713833.67444,793,140
1770713833.686044,704,123
1770713833.695519,741,140
1770713833.706834,721,139
1770713833.716572,700,159
1770713833.727612,725,118
1770713833.736681,799,195
1770713833.7475,880,211
1770713833.756588,840,191
1770713833.767537,892,187
1770713833.776594,921,178
1770713833.788077,1220,200
1770713833.797383,1224,162
1770713833.809022,1235,109
1770713833.818636,1190,110
1770713833.830338,1187,141
1770713833.839129,1147,177
1770713833.849908,1144,152
1770713833.859272,1131,92
1770713833.870772,1101,160
1770713833.879541,1188,192
1770713833.890178,1179,202
1770713833.899558,1163,170
1770713833.910362,1238,97
1770713833.919301,1207,189
1770713833.930779,1202,170
1770713833.939392,1215,144
1770713833.950024,1229,195
1770713833.958698,1214,152
1770713833.970333,1199,190
1770713833.979535,1026,200
1770713833.990415,686,320
1770713833.999537,314,286
1770713834.010562,249,347
1770713834.01918,289,339
1770713834.031098,288,318
1770713834.041029,293,271
1770713834.051844,280,283
1770713834.060611,307,304
1770713834.071234,277,286
1770713834.079904,268,225
1770713834.09151,243,259
1770713834.100406,221,267
1770713834.112295,228,289
1770713834.12119,203,272
1770713834.132208,236,287
1770713834.141657,244,242
1770713834.153817,277,248
1770713834.163454,260,276
1770713834.174459,243,260
1770713834.18347,264,285
1770713834.194351,274,241
1770713834.203467,252,230
1770713834.214643,279,218
1770713834.223701,283,231
1770713834.234392,340,232
1770713834.244392,362,202
1770713834.255826,375,165
1770713834.265277,364,224
1770713834.276597,376,271
1770713834.286195,374,258
1770713834.297473,354,234
1770713834.306774,466,191
1770713834.317567,461,252
1770713834.327047,468,273
1770713834.338201,459,263
1770713834.347658,460,295
1770713834.424752,474,241
1770713834.433426,509,286
1770713834.443835,660,315
1770713834.45291,691,302
1770713834.464684,616,364
1770713834.473734,625,383
1770713834.484481,659,339
1770713834.493777,661,356
1770713834.50494,660,367
1770713834.514842,655,339
1770713834.526039,743,357
1770713834.535373,789,278
1770713834.545898,803,369
1770713834.555155,763,361
1770713834.56685,845,448
1770713834.575895,804,440
1770713834.58708,804,399
1770713834.595663,827,394
1770713834.607672,819,395
1770713834.61645,835,368
1770713834.627662,838,377
1770713834.636871,885,354
1770713834.647785,889,391
1770713834.65695,904,363
1770713834.667647,907,372
1770713834.677692,929,380
1770713834.689103,925,376
1770713834.698032,922,398
1770713834.70974,971,323
1770713834.718582,1092,309
1770713834.730952,1073,353
1770713834.73963,1088,377
1770713834.751488,1066,333
1770713834.760865,1112,301
1770713834.77247,1240,297
1770713834.781559,1239,318
1770713834.793188,1229,262
1770713834.802349,1237,287
1770713834.813121,1231,264
1770713834.822004,1300,302
1770713834.833068,1294,289
1770713834.84194,1284,290
1770713834.853342,1265,259
1770713834.862139,1184,290
1770713834.873205,839,368
1770713834.882412,465,388
1770713834.89329,176,311
1770713834.902419,172,339
1770713834.91352,158,339
1770713834.922631,177,350
1770713834.934263,205,364
1770713834.942959,210,345
1770713834.95389,200,372
1770713834.962919,208,380
1770713834.974511,197,393
1770713834.983632,218,399
1770713834.995168,234,377
1770713835.003946,186,408
1770713835.015792,232,389
1770713835.024635,408,331
1770713835.036886,361,304
1770713835.046011,380,257
1770713835.057205,385,242
1770713835.066778,355,305
1770713835.077319,590,382
1770713835.087084,545,373
1770713835.099144,508,397
1770713835.108227,532,370
1770713835.1198,507,425
1770713835.129135,532,433
1770713835.140845,559,437
1770713835.150016,532,444
1770713835.161422,537,484
1770713835.170315,527,456
1770713835.181324,539,466
1770713835.189832,547,463
1770713835.200841,538,393
1770713835.209962,543,428
1770713835.221118,540,395
1770713835.230438,512,443
1770713835.242168,468,452
1770713835.251099,549,415
1770713835.261376,590,458
1770713835.27034,571,486
1770713835.282603,500,484
1770713835.292094,547,452
1770713835.302822,608,447
1770713835.312551,647,487
1770713835.323014,643,484
1770713835.331972,655,499
1770713835.342374,658,475
1770713835.351769,657,522
1770713835.363464,796,514
1770713835.372878,834,467
1770713835.384981,799,460
1770713835.393909,811,491
1770713835.405719,807,484
1770713835.414583,894,514
1770713835.425968,969,518
1770713835.434825,984,479
1770713835.445987,1008,478
1770713835.45495,1053,478
1770713835.532287,1063,498
1770713835.541722,1093,473
1770713835.552401,1256,342
1770713835.561501,1293,385
1770713835.572363,1287,377
1770713835.581209,1292,356
1770713835.592176,1273,344
1770713835.601407,1270,359
1770713835.611919,1272,365
1770713835.620791,1295,358
1770713835.631552,1285,356
1770713835.640365,1308,330
1770713835.651455,1297,310
1770713835.660826,1252,285
1770713835.671384,1242,299
1770713835.680398,978,385
1770713835.69119,506,451
1770713835.700563,229,236
1770713835.711657,231,232
1770713835.72137,248,264
1770713835.733227,233,246
1770713835.742369,222,277
1770713835.753209,226,318
1770713835.762586,243,319
1770713835.773818,171,358
1770713835.782834,142,341
1770713835.794198,128,321
1770713835.803338,164,281
1770713835.81478,173,267
1770713835.823734,236,246
1770713835.835095,318,395
1770713835.844504,349,434
1770713835.856261,362,399
1770713835.866344,367,402
1770713835.877961,364,393
1770713835.887628,358,391
1770713835.8988,352,391
1770713835.907765,365,384
1770713835.919372,359,458
1770713835.928993,373,428
1770713835.940333,325,566
1770713835.949822,329,525
1770713835.960689,354,482
1770713835.970034,331,492
1770713835.98087,326,539
1770713835.990246,314,560
1770713836.001608,515,540
1770713836.010276,474,574
1770713836.022639,512,576
1770713836.031397,513,562
1770713836.042174,499,587
1770713836.051155,489,551
1770713836.062958,481,487
1770713836.072229,687,595
1770713836.083508,677,605
1770713836.092921,595,598
1770713836.103474,633,569
1770713836.11259,656,569
1770713836.124014,698,552
1770713836.132674,703,558
1770713836.143752,663,600
1770713836.153062,799,600
1770713836.164058,830,604
1770713836.173169,820,606
1770713836.184239,811,637
1770713836.193671,813,643
1770713836.203985,1144,444
1770713836.212831,1112,489
1770713836.223909,1112,453
1770713836.233548,1111,477
1770713836.244026,1124,491
1770713836.252679,1116,439
1770713836.264223,1093,471
1770713836.27303,1132,441
1770713836.283403,1139,512
1770713836.292622,1092,494
1770713836.305562,1123,443
1770713836.314284,1118,511
1770713836.325437,1112,552
1770713836.334928,1116,523
1770713836.345886,1089,569
1770713836.355053,822,574
1770713836.366256,474,584
1770713836.376429,149,496
1770713836.388052,123,390
1770713836.396853,134,371
1770713836.407984,109,344
1770713836.41716,108,348
1770713836.428331,157,371
1770713836.437548,172,397
1770713836.448619,164,399
1770713836.458411,171,376
1770713836.469893,125,445
1770713836.47943,119,457
1770713836.561137,210,388
1770713836.571118,192,434
1770713836.585602,208,441
1770713836.600363,319,547
1770713836.612961,292,481
1770713836.623199,330,514
1770713836.636223,352,544
1770713836.646265,450,563
1770713836.658411,452,553
1770713836.669324,426,590
1770713836.681978,414,567
1770713836.693576,570,619
1770713836.705781,552,543
1770713836.715403,572,561
1770713836.726513,582,627
1770713836.736929,555,630
1770713836.748235,722,565
1770713836.75833,812,681
1770713836.769512,791,661
1770713836.779729,828,646
1770713836.791827,834,773
