timestamp,x,y
1771000057.872174,952,77
1771000057.883858,727,71
1771000057.891956,735,100
1771000057.900555,719,97
1771000057.910255,675,100
1771000057.922314,645,66
1771000057.933136,643,129
1771000057.944211,715,104
1771000057.953696,743,137
1771000057.965456,741,102
1771000057.974885,694,135
1771000057.986267,654,63
1771000057.995472,662,79
1771000058.006635,603,112
1771000058.015831,612,112
1771000058.027673,580,128
1771000058.036692,644,104
1771000058.048613,569,114
1771000058.058385,655,122
1771000058.069863,634,100
1771000058.079815,693,119
1771000058.091606,619,129
1771000058.101285,694,89
1771000058.113175,710,114
1771000058.124688,633,121
1771000058.136468,731,121
1771000058.145807,717,98
1771000058.158577,738,93
1771000058.168475,776,51
1771000058.180255,741,30
1771000058.189491,709,56
1771000058.201237,722,48
1771000058.210568,765,86
1771000058.222228,711,28
1771000058.232017,709,49
1771000058.243636,628,42
1771000058.253368,642,38
1771000058.265857,744,11
1771000058.27612,678,37
1771000058.287415,601,15
1771000058.297204,645,21
1771000058.309012,668,9
1771000058.318367,607,-10
1771000058.330598,681,14
1771000058.339879,676,38
1771000058.351843,614,29
1771000058.361133,651,13
1771000058.37295,765,24
1771000058.382787,797,31
1771000058.3944,774,33
1771000058.403993,824,50
1771000058.416203,781,62
1771000058.425929,821,70
1771000058.437149,870,83
1771000058.446702,838,69
1771000058.459885,1005,110
1771000058.469424,893,81
1771000058.481922,938,83
1771000058.492143,910,89
1771000058.503891,852,103
1771000058.512989,942,111
1771000058.525417,978,135
1771000058.535414,959,129
1771000058.588667,1279,312
1771000058.598011,1215,244
1771000058.610229,1159,158
1771000058.619193,1189,185
1771000058.630803,1167,191
1771000058.640389,1195,169
1771000058.652244,1194,153
1771000058.66161,1272,130
1771000058.673438,1297,161
1771000058.683644,1121,114
1771000058.694699,1187,124
1771000058.703585,1162,62
1771000058.716112,1215,91
1771000058.727355,1188,111
1771000058.739431,1310,101
1771000058.748685,1314,100
1771000058.761057,1322,141
1771000058.77047,1374,133
1771000058.78174,1376,181
1771000058.791181,1338,164
1771000058.802533,1362,167
1771000058.812029,1266,161
1771000058.823663,1248,159
1771000058.833056,1251,130
1771000058.844625,1281,143
1771000058.854008,1290,120
1771000058.866431,1222,120
1771000058.941703,1224,156
1771000058.953806,1298,200
1771000058.963428,1432,212
1771000058.975053,1584,211
1771000058.984443,1483,205
1771000058.995814,1379,196
1771000059.005762,1534,232
1771000059.018473,1419,224
1771000059.027875,1415,206
1771000059.03993,1432,201
1771000059.04965,1468,232
1771000059.060505,1523,213
1771000059.069963,1525,239
1771000059.082136,1363,240
1771000059.091631,1507,216
1771000059.103638,1376,244
1771000059.113045,1379,189
1771000059.124722,1432,218
1771000059.133956,1411,213
1771000059.145682,1463,220
1771000059.155904,1446,223
1771000059.167744,1464,226
1771000059.176762,1385,231
1771000059.189062,1424,239
1771000059.198683,1473,232
1771000059.210284,1446,217
1771000059.219638,1442,236
1771000059.231288,1540,226
1771000059.240834,1325,217
1771000059.253004,1501,197
1771000059.262508,1678,225
1771000059.274528,1427,212
1771000059.283922,1469,204
1771000059.295405,1402,202
1771000059.304757,1510,183
1771000059.316571,1391,196
1771000059.326011,1463,241
1771000059.337881,1479,234
1771000059.347534,1495,244
1771000059.359765,1498,235
1771000059.368939,1403,222
1771000059.380735,1461,227
1771000059.38988,1491,199
1771000059.400909,1495,246
1771000059.409989,1169,294
1771000059.422519,936,400
1771000059.431997,762,397
1771000059.444233,776,351
1771000059.453808,959,349
1771000059.465844,833,330
1771000059.475699,954,311
1771000059.48698,794,291
1771000059.496757,827,299
1771000059.507794,909,301
1771000059.517195,778,292
1771000059.528837,903,324
1771000059.538297,724,345
1771000059.549385,795,340
1771000059.558529,700,330
1771000059.570185,658,275
1771000059.579096,628,272
1771000059.589885,826,263
1771000059.600363,802,250
1771000059.611939,833,261
1771000059.621824,806,253
1771000059.633881,885,221
1771000059.644688,962,284
1771000059.656439,860,257
1771000059.665904,835,245
1771000059.677986,805,219
1771000059.688073,910,214
1771000059.699561,936,196
1771000059.708815,945,212
1771000059.721132,968,241
1771000059.730711,1130,252
1771000059.742387,1132,258
1771000059.752871,1160,210
1771000059.764852,1042,206
1771000059.774115,1160,247
1771000059.785984,992,198
1771000059.795812,913,202
1771000059.807327,964,204
1771000059.816978,885,241
1771000059.828455,1019,217
1771000059.838036,938,242
1771000059.849562,1032,271
1771000059.858771,929,278
1771000059.870467,883,243
1771000059.879643,1067,250
1771000059.890521,988,243
1771000059.899965,1020,260
1771000059.91191,982,292
1771000059.921932,1123,272
1771000059.933973,1110,266
1771000060.008979,1120,271
1771000060.020495,1187,274
1771000060.029605,1237,256
1771000060.041421,1555,377
1771000060.05188,1536,341
1771000060.063301,1512,318
1771000060.072779,1495,288
1771000060.083897,1457,297
1771000060.094561,1468,268
1771000060.105885,1493,258
1771000060.115911,1558,280
1771000060.127973,1497,276
1771000060.138029,1397,278
1771000060.149916,1467,263
1771000060.159488,1543,291
1771000060.171297,1336,291
1771000060.180242,1534,276
1771000060.192626,1574,287
1771000060.202155,1560,283
1771000060.214172,1580,298
1771000060.225039,1591,302
1771000060.236544,1626,292
1771000060.246283,1569,308
1771000060.258151,1447,314
1771000060.268539,1488,243
1771000060.280354,1163,200
1771000060.289953,1525,230
1771000060.301395,1584,243
1771000060.311047,1560,271
1771000060.322777,1610,250
1771000060.332203,1487,268
1771000060.344643,1545,232
1771000060.354088,1644,276
1771000060.365552,1759,257
1771000060.375264,1703,242
1771000060.386997,1757,258
1771000060.396444,1766,271
1771000060.407705,1708,271
1771000060.41756,1676,260
1771000060.428708,1610,272
1771000060.438203,1563,270
1771000060.45059,1574,267
1771000060.542681,1750,504
1771000060.554477,1827,512
1771000060.564208,1707,454
1771000060.575565,1577,393
1771000060.584928,1659,365
1771000060.596755,1583,345
1771000060.606832,1689,342
1771000060.618127,1590,319
1771000060.627885,1618,322
1771000060.640219,1486,329
1771000060.650068,1523,328
1771000060.661786,1499,327
1771000060.671837,1575,333
1771000060.683442,1643,335
1771000060.69256,1604,324
1771000060.704667,1549,367
1771000060.714635,1135,408
1771000060.726462,1038,535
1771000060.736088,798,488
1771000060.748406,727,464
1771000060.757728,921,476
1771000060.768913,772,468
1771000060.77791,790,495
1771000060.790081,796,495
1771000060.799542,664,474
1771000060.812072,643,516
1771000060.822849,592,491
1771000060.833767,721,440
1771000060.842648,773,387
1771000060.854196,695,396
1771000060.864128,752,396
1771000060.876095,757,416
1771000060.885497,796,434
1771000060.897382,656,419
1771000060.906582,792,427
1771000060.917051,817,451
1771000060.92688,816,437
1771000060.938557,859,454
1771000060.948168,675,451
