index,x,y
20.712302,581,325
20.742131,272,263
20.772743,246,206
20.803809,201,161
20.837551,173,118
20.86764,158,84
20.899999,148,63
20.930973,147,51
20.966002,146,41
20.995547,141,36
21.029484,139,28
21.060412,138,26
21.092696,138,25
21.125986,139,24
21.158767,139,24
21.193447,140,22
21.227363,141,22
21.259714,141,23
21.29287,140,24
21.328258,139,25
21.362483,138,26
21.398946,137,27
21.431137,136,28
21.461924,135,30
21.498033,133,32
21.532238,133,35
21.565156,132,37
21.596296,132,39
21.628109,132,41
21.662376,132,44
21.694805,132,46
21.728467,132,47
21.758823,132,48
21.791569,132,49
21.824667,132,50
21.859301,132,52
21.895552,132,53
21.928492,132,56
21.961675,131,57
21.998466,132,59
22.0323,132,61
22.064536,132,64
22.096719,132,66
22.133139,131,66
22.165701,131,67
22.199635,130,68
22.233536,129,68
22.267269,129,68
22.301829,129,68
22.335627,128,67
22.368309,128,67
22.400484,127,67
22.432125,127,67
22.464261,128,67
22.496561,130,67
22.531676,166,67
22.561221,210,68
22.593624,260,68
22.626295,305,68
22.65908,339,67
22.692588,366,66
22.725268,385,66
22.757633,399,66
22.790492,444,66
22.823216,477,66
22.858124,503,66
22.892098,518,66
22.926475,530,66
22.958876,545,66
22.993545,622,65
23.027056,687,65
23.060217,733,64
23.097499,767,62
23.129499,796,61
23.162734,817,58
23.196837,837,56
23.230639,934,52
23.26218,1009,48
23.294363,1062,45
23.328544,1098,43
23.361076,1120,41
23.394474,1151,39
23.427813,1504,30
23.462598,1570,29
23.493911,1609,28
23.526473,1636,27
23.561006,1654,27
23.595606,1659,28
23.632447,1663,29
23.664634,1670,30
23.699388,1674,31
23.735734,1701,32
23.765119,1722,34
23.79775,1745,34
23.829458,1765,34
23.870713,1791,45
23.907945,1806,56
23.933344,1816,61
23.965845,1829,66
23.997156,1832,71
24.032545,1838,74
24.064097,1842,76
24.099909,1845,84
24.132141,1844,88
24.164605,1842,93
24.199053,1842,96
24.22927,1841,100
24.259272,1541,107
24.295226,513,118
24.327067,369,119
24.36051,284,122
24.394933,241,123
24.429904,212,124
24.464457,204,127
24.498072,200,130
24.532106,198,131
24.566488,200,133
24.596849,203,134
24.629219,207,136
24.661707,211,138
24.69604,213,140
24.731037,215,141
24.766869,217,144
24.799737,241,144
24.830512,274,145
24.862267,312,146
24.898232,349,147
24.93068,379,147
24.96409,404,148
24.996432,421,148
25.029902,501,150
25.061976,586,152
25.095683,656,154
25.130427,702,154
25.165136,731,155
25.19803,749,155
25.231929,768,156
25.262871,779,155
25.299603,791,155
25.330373,797,156
25.363868,805,155
25.395029,814,155
25.429494,822,156
25.464054,828,156
25.500218,831,157
25.534192,833,157
25.566978,836,158
25.599621,896,159
25.630009,957,159
25.662682,1015,160
25.695267,1058,160
25.731597,1090,159
25.764758,1111,159
25.796819,1127,159
25.82933,1143,158
25.86079,1235,156
25.892284,1308,155
25.927573,1387,153
25.961958,1437,151
25.996906,1475,149
26.029391,1501,148
26.063043,1518,148
26.097346,1590,146
26.131143,1637,145
26.164984,1680,144
26.198993,1711,145
26.232464,1730,146
26.267166,1736,147
26.301811,1744,149
26.333032,1748,151
26.364109,1755,154
26.397836,1758,159
26.430185,1762,162
26.463018,1760,165
26.496057,1759,169
26.530769,1758,173
26.560027,1758,175
26.592772,1758,177
26.626104,1757,178
26.660406,1051,198
26.717572,336,192
26.757932,290,194
26.781539,272,196
26.836563,233,198
26.886694,215,201
26.918063,209,203
26.946747,201,203
26.973679,188,204
27.005975,174,205
27.064407,154,203
27.083034,149,203
27.113537,140,202
27.133364,137,202
27.15276,135,202
27.176677,133,202
27.203377,131,202
27.226979,122,206
27.257218,121,207
27.290468,117,207
27.320552,115,208
27.352194,113,209
27.386343,119,213
27.415975,123,216
27.454614,138,220
27.485404,153,225
27.521054,172,230
27.560007,195,235
27.594,229,238
27.630557,315,239
27.669499,393,242
27.697667,437,243
27.730461,481,244
27.765443,503,246
27.797197,516,246
27.832977,547,247
27.864289,832,250
27.898397,891,250
