index,x,y
19.809781,82,374
19.839064,73,123
19.868858,40,90
19.899929,12,72
19.932534,0,56
19.96739,0,46
19.998453,0,43
20.029893,0,42
20.063123,0,43
20.094474,0,45
20.127871,1,44
20.161547,2,44
20.200771,6,45
20.228921,10,46
20.261041,18,47
20.29644,26,48
20.327765,34,49
20.366698,43,50
20.400899,116,53
20.435436,239,57
20.469521,347,59
20.498729,404,60
20.537577,460,62
20.569389,486,62
20.599482,499,62
20.630107,512,62
20.665459,591,63
20.693947,681,63
20.729787,769,62
20.76219,818,61
20.794254,846,60
20.827352,864,59
20.860071,903,55
20.892654,1498,28
20.924697,1554,26
20.957253,1584,26
20.993881,1597,28
21.026977,1602,32
21.061882,1610,35
21.094786,1612,37
21.129909,1612,39
21.165916,1615,43
21.197218,1630,44
21.23104,1645,47
21.265404,1659,50
21.295541,1670,52
21.330408,1681,55
21.363619,1691,56
21.396295,1699,57
21.433427,1702,57
21.466924,1168,85
21.497077,425,96
21.530685,296,98
21.565765,230,100
21.600122,188,104
21.634266,164,106
21.664361,153,108
21.697545,145,109
21.731292,142,110
21.766502,142,111
21.799354,141,112
21.831253,141,112
21.863204,140,112
21.899365,146,112
21.934127,673,120
21.967133,709,120
21.99749,737,120
22.034808,763,122
22.065946,775,122
22.097238,783,122
22.132005,790,122
22.164866,797,122
22.201342,1043,116
22.233334,1357,104
22.266598,1379,103
22.298153,1393,103
22.331532,1400,105
22.361978,1407,106
22.394165,1420,106
22.429397,1427,106
22.461582,1433,107
22.496322,1439,107
22.531509,1506,109
22.563968,1567,113
22.597829,1612,117
22.635885,1643,126
22.666772,1660,130
22.697548,1674,135
22.73181,1686,139
22.764339,1695,143
22.795559,1702,146
22.8278,1706,148
22.862391,1712,151
22.895709,1704,158
22.930972,1712,162
22.965677,1718,166
22.998128,1724,170
23.032521,1725,170
23.065713,1036,203
23.097224,330,212
23.131666,262,214
23.165834,218,217
23.199518,210,221
23.233788,200,225
23.263491,191,227
23.298694,148,229
23.331432,127,231
23.366163,115,232
23.400113,106,233
23.433756,95,232
23.46603,88,232
23.498915,84,232
23.529983,81,232
23.563864,78,232
23.596577,75,232
23.630878,73,232
23.663106,73,233
23.697025,74,233
23.729695,74,234
23.76241,78,235
23.793813,135,237
23.828694,208,239
23.86066,268,241
23.899695,315,242
23.934547,343,243
23.967613,364,242
23.999238,376,242
24.030471,387,242
24.066921,470,243
24.099392,547,243
24.131949,601,243
24.16746,639,243
24.200146,663,243
24.233768,682,243
24.265957,713,242
24.297862,1016,234
24.330177,1063,232
24.363899,1093,230
24.398162,1111,228
24.431281,1126,226
24.462082,1135,224
24.49793,1143,224
