timestamp,x,y
1771004999.043374,1463,1025
1771004999.055387,1892,1176
1771004999.065163,1732,1097
1771004999.076727,1753,1092
1771004999.085926,1508,1104
1771004999.097062,1410,1185
1771004999.106541,1555,1204
1771004999.117472,1510,1182
1771004999.126619,1336,1117
1771004999.137646,1482,1131
1771004999.147136,1401,1140
1771004999.158654,1432,1171
1771004999.168101,1406,1192
1771004999.178908,1363,1168
1771004999.188273,1526,1096
1771004999.19868,1547,1096
1771004999.207845,1582,1102
1771004999.219056,1583,1104
1771004999.228634,1526,1083
1771004999.239656,1541,981
1771004999.249714,1606,917
1771004999.261079,1670,883
1771004999.270784,1767,891
1771004999.281615,1961,928
1771004999.291424,1802,880
1771004999.302097,1677,926
1771004999.311011,1672,880
1771004999.32273,1708,817
1771004999.331952,1686,802
1771004999.342896,1833,830
1771004999.351818,1839,808
1771004999.363122,1871,838
1771004999.371688,1935,885
1771004999.382093,2003,951
1771004999.39224,1984,864
1771004999.402914,1781,856
1771004999.41201,1884,933
1771004999.422283,1969,855
1771004999.432307,2141,881
1771004999.443431,2173,902
1771004999.4531,2277,850
1771004999.463753,2123,852
1771004999.473074,1921,765
1771004999.483834,2064,777
1771004999.49348,1967,752
1771004999.50517,1955,726
1771004999.514456,1929,711
1771004999.525853,1957,740
1771004999.535882,1978,747
1771004999.547988,2054,802
1771004999.559023,2087,823
1771004999.570518,2488,926
1771004999.63202,2574,1022
1771004999.641273,2568,1024
1771004999.652908,2422,1028
1771004999.694455,2703,951
1771004999.704085,2498,1098
1771004999.715487,2599,1072
1771004999.725566,2631,1042
1771004999.735972,2678,993
1771004999.745499,2629,1002
1771004999.756808,2596,977
1771004999.766163,2603,968
1771004999.777065,2650,943
1771004999.787158,2713,936
1771004999.79858,2663,964
1771004999.808568,2566,927
1771004999.81941,2598,936
1771004999.828999,2659,995
1771004999.840216,2634,938
1771004999.849663,2630,955
1771004999.861256,2646,912
1771004999.870611,2702,878
1771004999.881504,2684,893
1771004999.891506,2649,862
1771004999.903176,2604,868
1771004999.912407,2532,869
1771004999.923851,2500,938
1771004999.933144,2442,920
1771004999.944164,2477,924
1771004999.953274,2535,880
1771004999.963996,2538,862
1771004999.973968,2572,852
1771004999.985107,2152,801
1771004999.994888,1736,929
1771005000.006341,1423,1094
1771005000.081844,1523,1073
1771005000.092712,1502,1145
1771005000.101727,1318,1148
1771005000.113084,1592,1152
1771005000.122564,1774,1154
1771005000.134279,1546,1110
1771005000.144408,1486,1133
1771005000.155896,1697,1202
1771005000.165329,1742,1170
1771005000.176615,1710,1211
1771005000.186503,1721,1164
1771005000.197485,1665,1142
1771005000.206487,1632,1220
1771005000.218633,1643,1152
1771005000.227961,1600,1104
1771005000.239585,1525,999
1771005000.248977,1603,1028
1771005000.261204,1610,1150
1771005000.270979,1588,1155
1771005000.281463,1765,999
1771005000.291134,1851,971
1771005000.302219,1887,1068
1771005000.311784,1811,1067
1771005000.322947,1914,1023
1771005000.332418,1866,968
1771005000.344101,1834,931
1771005000.353064,1852,936
1771005000.365118,1965,942
1771005000.374045,2063,916
1771005000.385167,1941,978
1771005000.394817,1942,963
1771005000.406386,1902,887
1771005000.415248,1858,895
1771005000.426741,1786,1010
1771005000.43604,1920,927
1771005000.447343,2090,927
1771005000.457579,2093,922
1771005000.469204,2061,911
1771005000.479092,2085,914
1771005000.490658,2201,816
1771005000.500255,2108,835
1771005000.511567,2200,844
1771005000.520593,2142,841
1771005000.532112,2236,797
1771005000.542223,2124,818
1771005000.554098,2210,772
1771005000.564208,2183,807
1771005000.575568,2171,937
1771005000.58524,2217,876
1771005000.59717,2253,888
1771005000.606704,2448,969
1771005000.617758,2397,993
1771005000.627867,2369,1000
1771005000.638947,2402,949
1771005000.649084,2483,959
1771005000.660798,2487,966
1771005000.670537,2429,978
1771005000.681947,2412,891
1771005000.691583,2503,876
1771005000.70304,3073,1080
1771005000.76712,2536,1000
1771005000.777453,2402,920
1771005000.788803,2438,953
1771005000.798411,2443,942
1771005000.810256,2456,959
1771005000.819602,2453,898
1771005000.831815,2494,878
1771005000.893254,2597,1162
1771005000.903171,2847,988
1771005000.914819,2754,953
1771005000.924471,2797,879
1771005000.936085,2666,862
1771005000.945835,2671,888
1771005000.956628,2680,830
1771005000.965992,2647,813
1771005000.977089,2729,843
1771005000.986851,2829,818
1771005000.998754,2795,820
1771005001.008192,2873,841
1771005001.018668,2966,788
1771005001.028711,2964,777
1771005001.03996,2962,794
1771005001.04954,2890,784
1771005001.060581,2848,825
1771005001.07064,2798,876
1771005001.081381,2765,867
1771005001.090821,2677,921
1771005001.169468,2672,842
1771005001.178367,2674,900
1771005001.189565,2847,818
1771005001.19939,2759,890
1771005001.210736,2757,879
1771005001.220188,2226,875
1771005001.231468,1707,991
1771005001.241168,1595,1071
1771005001.252325,1502,1087
1771005001.261374,1386,1090
1771005001.272348,1358,1001
1771005001.282194,1215,1104
1771005001.292979,1282,1249
1771005001.302422,1231,1175
1771005001.313905,1384,1155
1771005001.323318,1337,1137
1771005001.334309,1204,1143
1771005001.344781,1161,1180
1771005001.355964,1049,1199
1771005001.365704,1170,1191
1771005001.377597,1113,1279
1771005001.387282,1175,1207
