mot,x,y,largeur,hauteur,ligne,espace,confiance
Le,56,75,55,46,1,0,9633
RMS,124,74,147,47,1,26,9601
Olympic,269,73,250,63,1,23,9480
est,519,79,101,42,1,23,9627
un,621,87,88,34,1,24,9548
paquebot,710,73,294,62,1,26,9255
transatlantique,1001,73,440,62,1,20,9054
construit,53,163,243,48,2,0,9483
par,308,177,112,48,2,24,9660
les,419,163,90,48,2,22,9634
chantiers,510,163,272,48,2,24,9328
Harland,783,163,238,48,2,27,9048
&,1021,164,73,47,2,27,9280
Wolff,1091,162,172,49,2,20,9474
pour,1264,177,150,48,2,22,9596
la,1414,163,62,48,2,23,9647
White,1476,163,186,48,2,23,9615
Star,1663,164,130,47,2,24,9657
Il,203,253,21,47,3,0,5334
est,237,259,103,42,3,26,9676
le,339,253,66,48,3,25,9327
des,558,253,422,48,3,330,9310
infortunés,828,252,304,49,3,26,9224
Titanic,1130,253,203,48,3,22,9577
et,1333,259,73,42,3,23,9310
Contrairement,53,343,403,48,4,0,9615
à,467,342,47,49,4,22,9625
ces,515,357,109,34,4,25,9648
a,894,357,589,34,4,564,8809
eu,1213,357,86,34,4,25,9604
une,1301,357,126,34,4,28,9604
longue,1425,343,214,63,4,25,9372
et,1638,349,74,42,4,23,9667
brillante,55,433,223,48,5,0,9561
carrière,289,432,229,49,5,23,9652
et,707,439,451,42,5,401,9651
en,969,447,85,34,5,22,9556
a,1050,428,37,66,5,14,9450
tiré,1098,432,125,49,5,36,9586
le,1217,433,67,48,5,25,9502
surnom,1283,447,230,34,5,23,9305
Old,1565,433,220,48,5,127,9640
Reliable,56,523,213,48,6,0,9028
Cette,312,524,232,47,6,87,9612
carrière,512,522,229,49,6,23,9593
a,741,537,48,34,6,23,9008
néanmoins,791,522,328,49,6,27,9649
été,1118,522,107,49,6,24,9646
marquée,1225,522,269,63,6,25,9589
par,1494,537,112,48,6,25,9632
plusieurs,1605,523,266,62,6,23,9633
collisions,53,613,251,48,7,0,9625
avec,316,627,144,34,7,24,9641
La,697,615,551,46,7,499,9635
plus,1012,613,135,62,7,27,9645
importante,1147,613,332,62,7,26,9576
de,1477,613,89,48,7,23,9676
ces,1566,627,107,34,7,23,9613
avec,342,717,120,34,8,0,9603
le,474,703,67,48,8,25,9563
croiseur,540,703,243,48,8,23,9590
HMS,784,704,152,47,8,24,9285
a,1046,717,270,34,8,245,9272
eu,1206,717,86,34,8,25,9618
pour,1294,717,156,48,8,28,9618
principale,1447,703,291,62,8,23,9625
conséquence,53,792,365,63,9,0,9515
de,429,793,89,48,9,23,9630
retarder,519,793,245,48,9,25,9618
le,763,793,64,48,9,23,9661
voyage,826,807,221,49,9,21,9329
inaugural,1049,793,279,63,9,25,9093
du,1329,793,92,48,9,26,9662
Titanic,1419,793,204,48,9,23,9604
de,1624,793,89,48,9,24,9677
près,1713,792,138,63,9,25,9672
mois,197,883,128,48,10,0,9554
en,336,897,86,34,10,23,9670
raison,424,883,188,48,10,26,9571
des,611,883,117,48,10,25,9546
réparations,729,882,337,63,10,26,9604
de,1064,883,89,48,10,23,9327
qui,1293,883,385,62,10,303,9673
ont,1539,889,116,42,10,25,9598
nécessité,55,972,250,49,11,0,9585
un,317,987,88,34,11,25,9686
transfert,404,972,258,49,11,23,9588
de,662,973,88,48,11,22,9653
main,751,973,155,48,11,25,9608
