mot,x,y,largeur,hauteur,ligne,espace,confiance
Le,56,118,61,46,1,0,96
RMS,129,118,149,46,1,25,96
Olympic,278,115,263,64,1,24,73
est,540,122,108,42,1,23,95
un,648,130,91,34,1,23,96
paquebot,742,115,313,64,1,28,93
transatlantique,1050,115,476,64,1,18,89
britannique,42,273,386,64,1,28,96
construit,427,275,289,47,1,26,93
par,715,288,118,49,1,24,96
les,833,273,99,49,1,24,94
chantiers,931,273,295,49,1,23,93
Harland,1227,273,255,49,1,25,91
&,1483,276,68,46,1,26,93
Wolff,1547,273,178,49,1,18,94
pour,42,447,165,49,1,28,94
la,205,432,65,49,1,24,95
White,269,432,193,49,1,23,96
Star,462,435,139,46,1,23,96
Line,602,434,156,47,1,24,93
Il,758,432,55,49,1,25,93
est,814,439,110,42,1,26,95
le,923,432,68,49,1,24,93
sister-ship,990,432,326,64,1,22,92
des,1317,432,124,49,1,24,93
infortunés,1441,432,329,49,1,24,91
Titanic,38,592,219,47,1,25,95
et,257,597,78,42,1,24,92
Britannic,334,592,299,47,1,23,91
Contrairement,635,592,463,47,1,26,96
à,1095,590,48,49,1,20,96
ces,1146,605,117,34,1,26,96
derniers,1261,590,282,57,1,23,93
l'Olympic,1546,590,296,64,1,28,88
a,39,763,54,34,1,26,96
eu,94,763,92,34,1,26,94
une,186,763,134,34,1,27,95
longue,320,748,226,64,1,26,95
et,545,755,78,42,1,24,96
brillante,623,748,265,49,1,24,96
carrière,888,748,251,49,1,24,95
1911-1935,1138,751,395,56,1,23,95
et,1535,755,80,42,1,26,83
en,1613,763,88,34,1,22,83
a,1702,763,53,34,1,25,12
tiré,1754,748,121,49,1,23,12
le,56,907,44,49,2,0,96
surnom,111,922,249,34,2,22,93
d',362,907,105,49,2,26,92
Old,466,907,120,49,2,24,93
Reliable,588,907,256,49,2,28,92
en,866,910,158,56,2,72,95
français,999,907,272,64,2,23,93
le,1298,907,120,49,2,77,96
Vieux,1390,909,183,47,2,20,95
Fidèle,1575,907,193,49,2,24,93
